"ms_id","pr_id","files","confFiles","chunks","confChunks","devs","code_churn","confCodeChurn","complexity","integrator.knew","formatting","merge.time.diff"
2142,4,30,12,1140,12,2,2730,60,2,0,0,303
2430,4,24,12,436,12,1,5383,90,4,0,0,229
2518,4,30,6,1170,6,2,2880,30,2,0,0,689
2641,4,24,6,186,6,2,3210,30,2,0,0,46
2848,4,36,12,1056,30,2,5496,480,10,0,0,131
3252,4,48,12,552,12,3,15618,60,4,100,0,207
3339,4,48,6,162,6,2,14520,30,2,0,0,41
3387,4,18,6,114,6,2,270,30,2,0,0,95
3432,4,18,12,156,18,2,420,96,6,0,0,33
3489,4,12,12,132,24,2,438,300,8,0,0,50
3524,4,30,12,162,24,2,1194,288,8,0,0,137
3634,4,30,6,78,6,3,13488,30,2,0,0,61
3685,4,30,6,84,6,3,13722,30,2,0,0,7051
3697,4,12,6,90,6,2,156,30,2,0,0,38
3707,4,12,6,36,6,2,96,30,2,0,0,19
3714,4,12,12,96,18,2,294,204,6,0,0,16
3743,4,96,12,810,36,4,10242,612,12,0,0,21433
3823,4,18,6,72,6,2,126,30,2,0,0,29
3866,4,18,6,210,6,2,450,30,2,0,0,37
3993,4,54,6,318,6,2,1296,30,2,0,0,45
4143,4,120,6,354,6,2,16644,30,2,0,0,68
4175,4,18,6,42,6,2,84,30,2,0,0,250
4210,4,36,6,198,6,2,1278,30,2,0,0,15
4230,4,36,12,378,12,2,1830,84,4,50,0,46
4412,4,18,6,42,6,2,84,30,2,0,0,15
4449,4,102,12,324,12,2,16770,60,4,100,0,338
4486,4,174,18,2952,42,4,45666,624,14,100,0,861
4949,4,9,3,18,3,2,72,15,2,100,0,67
5044,4,30,6,363,6,6,1461,30,4,100,0,79858
5164,4,28,2,100,2,2,552,10,2,100,0,217
5298,4,28,2,116,2,2,584,10,2,100,0,45
5634,4,8,2,20,2,3,46,10,2,100,0,76
5716,4,46,4,657,6,4,3821,196,6,100,0,55
5760,4,6,2,64,2,2,116,10,2,100,0,1034
5768,4,20,2,96,2,4,600,10,2,100,0,40
5782,4,30,2,78,2,2,398,10,2,100,0,55
5820,4,18,2,84,2,3,390,10,2,100,0,8873
6029,4,22,2,126,2,2,788,10,2,100,0,59
6094,4,26,2,146,2,2,672,10,2,100,0,277
6239,4,18,2,64,2,4,194,10,2,100,0,142854
6250,4,14,2,88,2,2,374,10,2,100,0,34
6276,4,16,2,88,2,2,1726,10,2,100,0,61
6572,4,12,2,72,2,2,1318,10,2,100,0,601
6592,4,12,4,100,4,2,736,42,4,100,0,70
6650,4,26,2,216,2,2,1122,10,2,100,0,48
6713,4,4,2,6,2,2,18,10,2,100,0,950
7089,4,18,6,36,8,3,268,228,8,100,0,107511
7325,4,28,4,236,10,5,724,110,10,100,0,52481
7396,4,98,14,390,26,2,17220,1026,26,100,0,3160
8105,4,14,2,78,2,2,1296,62,2,100,0,65
8263,4,22,2,30,2,2,38,10,2,100,0,44
8286,4,6,2,18,2,2,30,10,2,100,0,2352
8416,4,30,4,100,4,2,278,24,4,100,0,147
8564,4,6,2,22,2,3,62,10,2,0,0,5233
